@tick,heap MiB
1,339.21099853515625
2,425.7943420410156
3,512.378662109375
4,371.20318603515625
5,457.8031005859375
6,544.4048461914062
7,402.98919677734375
8,489.59906005859375
9,348.4130554199219
10,435.0258483886719
11,521.6435546875
12,380.3207092285156
13,466.9415283203125
14,553.563232421875
15,412.0425720214844
16,498.6737976074219
17,357.57342529296875
18,444.1971740722656
19,530.8273315429688
20,389.5116882324219
21,476.1361999511719
22,334.81488037109375
23,421.447509765625
24,508.0755310058594
25,366.7735595703125
26,453.4012145996094
27,540.0311279296875
28,398.6687316894531
29,485.296875
30,344.0213317871094
31,430.77099609375
32,517.7738647460938
33,376.0009460449219
34,462.56243896484375
35,549.1375122070312
36,407.7840576171875
37,494.365966796875
38,353.2749938964844
39,439.8675231933594
40,526.4717407226562
41,385.2040100097656
42,471.8112487792969
43,558.4189453125
44,416.92962646484375
45,503.5509033203125
46,362.7119140625
47,449.7138671875
48,536.335205078125
49,398.5440368652344
50,484.55169677734375
51,344.27099609375
52,430.5074462890625
53,516.7426147460938
54,376.149658203125
55,462.52392578125
56,548.8971557617188
57,407.98199462890625
58,494.44439697265625
59,348.92767333984375
60,435.44732666015625
61,521.96875
62,380.8439636230469
63,467.4053039550781
64,553.95849609375
65,412.56146240234375
66,499.1450500488281
67,358.11505126953125
68,444.71734619140625
69,531.3163452148438
70,390.0472106933594
71,481.21575927734375
72,339.9295654296875
73,426.5468444824219
74,513.1610107421875
75,371.8621826171875
76,458.4890441894531
77,545.1070556640625
78,403.884033203125
79,495.34710693359375
80,353.67462158203125
81,440.2338562011719
82,526.7887573242188
83,385.6116638183594
84,472.1956787109375
85,558.781005859375
86,417.2665100097656
87,508.429443359375
88,367.44305419921875
89,454.056884765625
90,540.6641845703125
91,399.3232116699219
92,485.933837890625
93,344.6920166015625
94,431.3087463378906
95,517.9318237304688
96,376.628173828125
97,463.25146484375
98,549.8729248046875
99,408.4384765625
100,495.05963134765625
101,353.8802795410156
102,445.064697265625
103,531.6885986328125
104,390.6291809082031
105,477.505615234375
106,340.2471923828125
107,426.8122253417969
108,513.3760375976562
109,372.1830749511719
110,458.7675476074219
111,545.3447265625
112,404.0513000488281
113,490.65155029296875
114,349.4630432128906
115,436.07421875
116,522.833251953125
117,386.1968688964844
118,472.77301025390625
119,331.3768615722656
120,421.8783874511719
121,507.844970703125
122,367.66046142578125
123,453.86962890625
124,540.0806884765625
125,399.48095703125
126,485.8372802734375
127,345.05657958984375
128,431.53240966796875
129,517.9842529296875
130,376.95880126953125
131,463.468505859375
132,549.978759765625
133,408.70501708984375
134,495.26019287109375
135,354.24981689453125
136,440.8414001464844
137,527.418701171875
138,386.18121337890625
139,472.7762451171875
140,559.3709716796875
141,417.8804016113281
142,504.48870849609375
143,358.8856506347656
144,445.50054931640625
145,532.1178588867188
146,390.8165283203125
147,477.43792724609375
148,336.12969970703125
149,422.7549743652344
150,509.3759765625
151,363.50775146484375
152,450.13238525390625
153,536.7531127929688
154,395.4105224609375
155,482.0330810546875
156,340.755126953125
